sector,signal_type,analysis_days,holding_days,volume_threshold,price_threshold,hit_rate,avg_return,trade_count,tickers_count
TECH,BUY_MODERATE,2,2,1.3,0.5,57.14285714285714,0.5955646714718075,7,9
NON_TECH,SELL_STRONG,2,2,1.3,0.5,38.46153846153847,-2.034262221965393,130,20
NON_TECH,BUY_STRONG,2,2,1.3,0.5,52.317880794701985,2.1523961093612876,151,20
NON_TECH,BUY_MODERATE,2,2,1.3,0.5,70.0,5.372512310987774,10,20
TECH,BUY_STRONG,2,2,1.3,1.0,55.769230769230774,0.7297175759614056,52,9
TECH,SELL_STRONG,2,2,1.3,1.0,50.0,-0.6383877114347637,50,9
TECH,BUY_MODERATE,2,2,1.3,1.0,66.66666666666666,1.8291012544149836,12,9
NON_TECH,SELL_STRONG,2,2,1.3,1.0,37.16814159292036,-2.280286287925554,113,20
NON_TECH,BUY_STRONG,2,2,1.3,1.0,52.98507462686567,2.2574766997990765,134,20
NON_TECH,BUY_MODERATE,2,2,1.3,1.0,56.25,2.041506583709664,16,20
TECH,BUY_STRONG,2,2,1.3,1.5,50.0,0.024231252879867545,44,9
TECH,SELL_STRONG,2,2,1.3,1.5,56.09756097560976,-0.25539250149408976,41,9
TECH,BUY_MODERATE,2,2,1.3,1.5,68.75,1.5167963762262415,16,9
NON_TECH,SELL_STRONG,2,2,1.3,1.5,38.46153846153847,-2.593959734444691,91,20
NON_TECH,BUY_STRONG,2,2,1.3,1.5,54.71698113207547,2.365555565898356,106,20
NON_TECH,BUY_MODERATE,2,2,1.3,1.5,50.0,1.7849348447478606,26,20
TECH,BUY_STRONG,2,2,1.3,2.0,46.666666666666664,0.9054967886712515,30,9
TECH,SELL_STRONG,2,2,1.3,2.0,62.5,0.2885044663734964,32,9
TECH,BUY_MODERATE,2,2,1.3,2.0,73.68421052631578,2.2788390443302053,19,9
NON_TECH,BUY_STRONG,2,2,1.3,2.0,52.17391304347826,2.278296553266645,92,20
NON_TECH,SELL_STRONG,2,2,1.3,2.0,42.42424242424242,-1.9097928499207157,66,20
NON_TECH,BUY_MODERATE,2,2,1.3,2.0,50.0,1.635433544419755,30,20
TECH,BUY_STRONG,2,2,1.3,2.5,50.0,1.496104666146187,26,9
TECH,BUY_MODERATE,2,2,1.3,2.5,77.27272727272727,2.505037077157098,22,9
TECH,SELL_STRONG,2,2,1.3,2.5,60.86956521739131,0.3434186319352042,23,9
NON_TECH,BUY_STRONG,2,2,1.3,2.5,54.166666666666664,2.25017572859898,72,20
NON_TECH,SELL_STRONG,2,2,1.3,2.5,39.285714285714285,-2.0791581206744185,56,20
NON_TECH,BUY_MODERATE,2,2,1.3,2.5,53.333333333333336,2.9979284762759937,45,20
TECH,SELL_STRONG,2,2,1.4,0.5,43.90243902439025,-1.6647213227824396,41,9
TECH,BUY_STRONG,2,2,1.4,0.5,56.81818181818182,0.6645557128593148,44,9
NON_TECH,SELL_STRONG,2,2,1.4,0.5,34.95145631067961,-2.453492727771663,103,20
NON_TECH,BUY_STRONG,2,2,1.4,0.5,50.0,1.7849082968940273,130,20
NON_TECH,BUY_MODERATE,2,2,1.4,0.5,100.0,8.31008571547562,7,20
TECH,SELL_STRONG,2,2,1.4,1.0,47.22222222222222,-1.5542139267914645,36,9
TECH,BUY_STRONG,2,2,1.4,1.0,53.84615384615385,0.6466983452216473,39,9
TECH,BUY_MODERATE,2,2,1.4,1.0,66.66666666666666,2.238106755399663,9,9
NON_TECH,SELL_STRONG,2,2,1.4,1.0,33.33333333333333,-2.729888943466693,90,20
NON_TECH,BUY_STRONG,2,2,1.4,1.0,51.724137931034484,1.8745719364557447,116,20
NON_TECH,BUY_MODERATE,2,2,1.4,1.0,72.72727272727273,3.49534090905632,11,20
TECH,SELL_STRONG,2,2,1.4,1.5,53.333333333333336,-1.133097063092737,30,9
TECH,BUY_STRONG,2,2,1.4,1.5,46.875,-0.11599609429260338,32,9
TECH,BUY_MODERATE,2,2,1.4,1.5,66.66666666666666,1.6500126548957432,12,9
NON_TECH,SELL_STRONG,2,2,1.4,1.5,35.61643835616438,-3.0589329414291853,73,20
NON_TECH,BUY_STRONG,2,2,1.4,1.5,53.76344086021505,1.723437078701869,93,20
NON_TECH,BUY_MODERATE,2,2,1.4,1.5,52.94117647058824,1.8605435595480448,17,20
TECH,SELL_STRONG,2,2,1.4,2.0,59.09090909090909,-0.7682473886171001,22,9
TECH,BUY_STRONG,2,2,1.4,2.0,42.857142857142854,1.3742122181173413,21,9
TECH,BUY_MODERATE,2,2,1.4,2.0,73.33333333333333,2.5886234454268644,15,9
NON_TECH,BUY_STRONG,2,2,1.4,2.0,51.24999999999999,1.5503390629294458,80,20
NON_TECH,SELL_STRONG,2,2,1.4,2.0,37.03703703703704,-2.7733479990882737,54,20
NON_TECH,BUY_MODERATE,2,2,1.4,2.0,52.38095238095239,1.6325686134030966,21,20
TECH,BUY_STRONG,2,2,1.4,2.5,47.368421052631575,1.6331707419569779,19,9
TECH,BUY_MODERATE,2,2,1.4,2.5,75.0,3.0785527940334796,16,9
TECH,SELL_STRONG,2,2,1.4,2.5,56.25,-0.5343787498434912,16,9
NON_TECH,BUY_STRONG,2,2,1.4,2.5,54.6875,2.223331639653167,64,20
NON_TECH,SELL_STRONG,2,2,1.4,2.5,33.33333333333333,-2.971499134673183,45,20
NON_TECH,BUY_MODERATE,2,2,1.4,2.5,48.38709677419355,1.0319696906126596,31,20
TECH,SELL_STRONG,2,2,1.5,0.5,40.0,-1.984191072028662,35,9
TECH,BUY_STRONG,2,2,1.5,0.5,62.06896551724138,0.7055883349299266,29,9
NON_TECH,SELL_STRONG,2,2,1.5,0.5,35.80246913580247,-2.25818421582584,81,20
NON_TECH,BUY_STRONG,2,2,1.5,0.5,51.4018691588785,2.0990018468385587,107,20
NON_TECH,BUY_MODERATE,2,2,1.5,0.5,100.0,6.791992147642979,5,20
TECH,SELL_STRONG,2,2,1.5,1.0,43.333333333333336,-1.9048271550471965,30,9
TECH,BUY_STRONG,2,2,1.5,1.0,59.25925925925925,0.4227854738244839,27,9
TECH,BUY_MODERATE,2,2,1.5,1.0,75.0,3.1894925364033115,8,9
NON_TECH,SELL_STRONG,2,2,1.5,1.0,34.72222222222222,-2.414362079462822,72,20
NON_TECH,BUY_STRONG,2,2,1.5,1.0,53.535353535353536,2.268169214178428,99,20
NON_TECH,BUY_MODERATE,2,2,1.5,1.0,85.71428571428571,4.3737582374786435,7,20
